,Network,User,Date,Text,Positive,Neutral,Negative,Compound
93,@CNN,Inacio Marta Salgado,Mon Sep 03 16:33:53 +0000 2018,RT @CNN: Heavy rain and strong wind are pounding South Florida after Tropical Storm Gordon formed near the Florida Keys. Storm warnings and…,0.125,0.792,0.083,0.2732
94,@CNN,Bama fanatic🇺🇸@fanatic_bama,Mon Sep 03 16:33:53 +0000 2018,RT @Bamafanaticfan1: @MikeDomansky @sdc22554 @bbl58 @TruAlaskan1 @Melissa1opinion @Br_Dusseldorf @TheScoop8 @MAJMO50 @MarkGraben @MartDrisc…,0.0,1.0,0.0,0.0
95,@CNN,GreenHillFun,Mon Sep 03 16:33:52 +0000 2018,@CNN Development has levels. Maybe minerals for infrastructure is a good deal for ones live in Africa now. And new deals later come along .,0.116,0.884,0.0,0.4404
96,@CNN,tanya,Mon Sep 03 16:33:52 +0000 2018,RT @CNN: The road to the nation’s highest court wasn’t often an easy one. #RBGMovie reveals the inspiring life and career of Supreme Court…,0.307,0.693,0.0,0.8519
97,@CNN,Clifton Shepherd,Mon Sep 03 16:33:52 +0000 2018,@mnunan62 @CNN Other grieving parents of school shootings have asked the same and were DENIED!!! Could it be possib… https://t.co/vMVgq5obZC,0.0,0.697,0.303,-0.832
98,@CNN,Fritz Liepertz,Mon Sep 03 16:33:52 +0000 2018,RT @RealCandaceO: HOLY SHIT. @CNN is now LYING on Black Americans accusing US of committing the violent atrocities that ANTIFA commits acro…,0.074,0.493,0.433,-0.9283
99,@CNN,therealAmerica,Mon Sep 03 16:33:52 +0000 2018,"RT @AynRandPaulRyan: Good news! @CNN has moved 11 seats toward these Democrats:

#CA45 @katieporteroc 
#CA50 @ACampaNajjar
#IA04 @Scholten4…",0.158,0.842,0.0,0.4926
100,@FoxNews,Gär,Mon Sep 03 16:35:41 +0000 2018,"@JoelGiles91 @seeaston @FoxNews hehehe i know it hurts you personally, i understand",0.0,0.744,0.256,-0.4767
101,@FoxNews,B HAPPY&#kag,Mon Sep 03 16:35:40 +0000 2018,RT @dflogerzi: #outnumbered Watching @KatiePavlich today taking off rude Marie Harf's head over unpatriotic Obama and Dem's. You go! That w…,0.0,0.859,0.141,-0.5093
102,@FoxNews,xoxo,Mon Sep 03 16:35:40 +0000 2018,@commonsense2021 @FoxNews @NextRevFNC Oh another ye of no one gives a shit about 😢😓,0.0,0.655,0.345,-0.7003
